FSC-A,FSC-H,SSC-A,SSC-H,Live/ Dead,IgM,CD27,HLA-DR,CD19,CD24,CD23,CD21,Time,file_name,event_id
139051.1875,113028,66493.67969,58288,4705.600098,296.6700134,221.3399963,557.0700073,-56.72999954,2395.219971,473.9599915,25292.90039,0.300292969,Bcells1,5_Bcells1
54913.17969,34213,189158.6406,142133,-97.75,15.81000042,124.6200027,466.8600159,39.99000168,110.6999969,24.60000038,-31.15999985,0.800292969,Bcells1,16_Bcells1
127038.0234,109611,53868.32031,48779,367.2000122,406.4100037,1315.02002,717.0300293,363.6300049,186.9599915,34.43999863,-31.15999985,1,Bcells1,22_Bcells1
127673.6797,115310,57062.71875,52698,528.7000122,386.8800049,2198.52002,1044.390015,676.1099854,-76.26000214,125.4599991,614.1799927,1.200195313,Bcells1,25_Bcells1
39565.58203,37811,25152.16016,23543,360.4000244,31.62000084,86.48999786,10.2300005,-202.7400055,-128.7400055,-18.03999901,167.2799988,1.300292969,Bcells1,27_Bcells1
205173.1406,158138,150531.9219,126314,4165,425.0100098,405.480011,2598.419922,877.9199829,1650.660034,724.8800049,9025.740234,1.399902344,Bcells1,30_Bcells1
142303.4844,119551,59884.87891,54907,952,514.289978,1918.589966,1118.790039,543.1199951,224.6799927,123,3017.599854,1.600097656,Bcells1,33_Bcells1
126296.5391,110577,54795.83984,50661,944.3500366,252.9600067,143.2200012,1321.530029,5043.390137,104.1399994,118.9000015,1852.380005,1.600097656,Bcells1,34_Bcells1
96394.625,79461,95707.92188,86965,161.5,45.56999969,30.69000053,698.4299927,225.0599976,140.2200012,19.68000031,-59.04000092,1.899902344,Bcells1,39_Bcells1
149894.4063,128674,61078.16016,54998,-561.8500366,385.9500122,1022.070007,614.7299805,397.1100159,-57.39999771,11.47999954,-254.1999969,2.200195313,Bcells1,45_Bcells1
136086,119487,66368.71875,60683,105.4000015,346.8900146,2199.449951,1356.869995,554.2800293,19.68000031,-70.51999664,517.4199829,2.399902344,Bcells1,48_Bcells1
43682.19922,25719,147497.6719,114215,731,21.38999939,52.08000183,-6.510000229,652.8599854,161.5399933,11.47999954,86.91999817,2.700195313,Bcells1,56_Bcells1
112983.2031,93475,74790.32031,68391,1024.25,384.0899963,218.5500031,142.2900085,-157.1699982,164.8199921,126.2799988,1661.319946,3.600097656,Bcells1,78_Bcells1
21132.91992,20459,9979.200195,9679,69.70000458,-9.300000191,-16.73999977,-8.369999886,-166.4700012,15.57999992,-13.11999989,72.15999603,3.600097656,Bcells1,81_Bcells1
179582.4688,139103,130563.8359,113007,4047.700195,230.6399994,304.1100159,4045.5,609.1500244,1233.280029,782.2799683,5871.199707,4.800292969,Bcells1,115_Bcells1
87083.9375,60356,80119.60156,70468,3112.700195,306.8999939,233.4300079,171.1199951,328.2900085,1000.399963,354.2399902,10364.7998,5.200195313,Bcells1,124_Bcells1
30361.46094,29273,16117.2002,15245,288.1499939,73.47000122,62.31000137,-39.99000168,70.68000031,77.90000153,65.59999847,533.8200073,5.5,Bcells1,134_Bcells1
103033.8984,92525,36036.87891,34509,4529.649902,2857.890137,637.0499878,10022.61035,19093.83008,4094.26001,2635.47998,10109.78027,5.5,Bcells1,135_Bcells1
177903.4063,137357,154242,129581,4539,599.8499756,363.6300049,5979.899902,2465.429932,1915.52002,1569.47998,13374.2002,5.600097656,Bcells1,136_Bcells1
145126.5781,122334,64051.67969,57694,257.5500183,184.1399994,67.88999939,5194.049805,420.3600159,200.8999939,440.3399963,59.86000061,5.800292969,Bcells1,142_Bcells1
31153.25977,30310,23342.87891,19798,137.6999969,3.720000029,22.31999969,-58.59000015,-797.9400024,135.3000031,26.23999977,144.3199921,6.700195313,Bcells1,160_Bcells1
138129.875,114688,57588.07813,51648,-78.20000458,432.4500122,2107.380127,1170.869995,360.8399963,-38.54000092,109.0599976,13.11999989,6.800292969,Bcells1,164_Bcells1
21888.46094,22081,13427.91992,13330,166.6000061,90.20999908,107.8799973,94.86000061,-178.5599976,121.3600006,43.45999908,100.0400009,9.100097656,Bcells1,203_Bcells1
184516.7813,143555,152677.3594,128387,5011.600098,354.3300171,315.269989,3340.560059,956.9700317,960.2199707,684.7000122,6930.640137,10.39990234,Bcells1,223_Bcells1
151156.1094,109762,118200.7188,101762,4756.600098,405.480011,334.7999878,14190.87012,3396.360107,966.7799683,1912.23999,3207.02002,10.70019531,Bcells1,226_Bcells1
111648.2422,93767,45035.75781,41811,10.20000076,219.4799957,183.2100067,595.2000122,-746.789978,33.61999893,88.55999756,2959.379883,11.30029297,Bcells1,240_Bcells1
126543.7031,111587,46510.64063,43459,-464.9500122,254.8200073,1730.72998,903.960022,1076.940063,-104.1399994,132.0200043,-47.56000137,11.60009766,Bcells1,247_Bcells1
43932.32031,32176,43508.07813,38948,3448.450195,792.3599854,412.9200134,18375.87109,19776.44922,6021.259766,4993.799805,14896.93945,12.39990234,Bcells1,266_Bcells1
190247.3438,148239,148827.3594,128219,4288.25,449.1900024,429.6600037,2469.149902,1706.550049,1416.959961,847.0599976,6874.060059,12.5,Bcells1,267_Bcells1
137092.4063,115800,48571.60156,44248,1094.800049,353.3999939,1941.839966,1008.119995,797.0100098,173.8399963,64.77999878,1975.380005,12.60009766,Bcells1,270_Bcells1
38130.71875,24630,53485.51953,42790,-260.1000061,162.75,19.53000069,14.88000011,102.3000031,25.42000008,-63.95999908,180.3999939,13.5,Bcells1,290_Bcells1
121974.2031,103355,50945.83984,45775,512.5499878,195.3000031,291.0899963,3280.110107,375.7200012,171.3800049,410,368.1799927,13.60009766,Bcells1,291_Bcells1
184054.2813,146042,125281.2031,108174,3150.950195,360.8399963,198.0899963,1117.859985,253.8899994,646.9799805,399.3399963,5809.699707,13.89990234,Bcells1,294_Bcells1
209510.2813,162302,159535.2031,134494,6566.25,398.0400085,357.1199951,1012.77002,508.7099915,1427.619995,624.8399658,9585.799805,14.30029297,Bcells1,305_Bcells1
37234.58203,25722,54707.83984,48010,63.75,93,11.15999985,176.6999969,-225.9900055,13.11999989,140.2200012,65.59999847,14.60009766,Bcells1,312_Bcells1
20109.5,20302,14252.47949,13598,64.59999847,25.11000061,73.47000122,-96.72000122,-286.4400024,-31.97999954,9.019999504,349.3200073,14.80029297,Bcells1,319_Bcells1
166892.9375,118179,156574,125095,2623.950195,365.4899902,309.6900024,2472.870117,556.1400146,1148.819946,391.9599915,4680.560059,14.80029297,Bcells1,322_Bcells1
48942.12109,38491,57228.16016,51711,-234.6000061,-9.300000191,-17.67000008,143.2200012,48.36000061,-36.07999802,-59.04000092,-95.12000275,14.80029297,Bcells1,323_Bcells1
158052.9063,141347,64885.91797,50743,886.5500488,465.9299927,1158.780029,609.1500244,119.0400009,184.5,273.8800049,495.2799988,15.5,Bcells1,343_Bcells1
63856.82031,44704,70125.4375,62180,334.0500183,456.6300049,2402.189941,1302.930054,-239.0099945,13.11999989,-6.559999943,164,16.20019531,Bcells1,357_Bcells1
188904.9844,158055,117265.2813,104391,3104.200195,469.6499939,299.4599915,1755.839966,86.48999786,727.3399658,359.1600037,4446.040039,16.70019531,Bcells1,369_Bcells1
128989.3984,112329,60140.07813,56089,-165.75,357.1199951,2359.409912,1463.820068,507.7799988,-45.09999847,269.7799988,-128.7400055,16.80029297,Bcells1,371_Bcells1
142883.6406,126998,50013.91797,46054,375.7000122,273.4200134,159.9600067,370.1400146,283.6499939,159.0800018,125.4599991,911.8399658,16.80029297,Bcells1,374_Bcells1
131826.5625,108907,62164.96094,55887,594.1500244,398.0400085,2456.130127,1232.25,258.5400085,97.58000183,59.04000092,995.4799805,17.20019531,Bcells1,383_Bcells1
154117.5781,120642,138951.125,116518,2323.050049,1038.810059,553.3499756,20551.14063,5821.799805,965.960022,3303.780029,2829.820068,17.5,Bcells1,388_Bcells1
83916,63515,68380.39844,58079,199.75,393.3900146,1323.390015,1014.630005,1617.27002,271.4199829,76.26000214,-219.7599945,18,Bcells1,404_Bcells1
115163.9844,100531,42262,39015,627.2999878,371.0700073,1977.180054,1316.880005,282.7200012,260.7600098,184.5,2210.719971,18.20019531,Bcells1,406_Bcells1
49208.51953,49222,21484.32031,20450,556.75,95.79000092,18.60000038,-69.75,-558,-71.33999634,-38.54000092,478.8800049,18.60009766,Bcells1,409_Bcells1
185260.4844,143914,127577.1172,106618,5791.900391,508.7099915,254.8200073,3188.040039,980.2200317,1671.160034,678.960022,9975.299805,18.60009766,Bcells1,410_Bcells1
