FSC-A,FSC-H,SSC-A,SSC-H,Live/ Dead,IgM,CD27,HLA-DR,CD19,CD24,CD23,CD21,Time,file_name,event_id
119267.2813,106015,44036.07813,40671,235.4500122,129.2700043,72.54000092,260.3999939,-221.3399963,-53.29999924,-83.63999939,578.9199829,1,Bcells3,41_Bcells3
58588.01953,51975,43162.23828,40279,708.9000244,118.1100006,221.3399963,74.40000153,146.9400024,-18.86000061,-9.840000153,-141.8600006,1.100000024,Bcells3,42_Bcells3
140790.9219,103598,102917.7578,86510,2545.75,394.3200073,423.1499939,4014.810059,1426.619995,268.1399841,207.4599915,2806.859863,1.600000024,Bcells3,55_Bcells3
122259.8438,104800,79078.5625,64656,347.6500244,163.6800079,26.96999931,6831.780273,732.8400269,107.4199982,471.5,70.51999664,2,Bcells3,70_Bcells3
94005.16406,76482,67353.4375,59746,584.7999878,304.1100159,225.0599976,1827.450073,152.5200043,-39.36000061,129.5599976,-81.18000031,2.400000095,Bcells3,78_Bcells3
98494,82171,43508.96094,39355,-475.1500244,279,1033.22998,286.4400024,279.9299927,235.3399963,-36.07999802,566.6199951,2.900000095,Bcells3,90_Bcells3
47681.90234,30653,79556.39844,62489,151.3000031,-15.81000042,106.0200043,597.9899902,5708.339844,-120.5400009,51.65999985,249.2799988,3.5,Bcells3,108_Bcells3
133977,113636,49497.35938,43956,326.4000244,119.0400009,207.3899994,229.7100067,24.18000031,89.37999725,51.65999985,223.8600006,3.599999905,Bcells3,113_Bcells3
138582.0156,116946,51182.55859,44630,535.5,174.8399963,244.5899963,561.7200317,117.1800003,3.279999971,57.39999771,367.3599854,4.199999809,Bcells3,131_Bcells3
39102.33984,25270,47241.03906,36802,902.7000122,-8.369999886,26.04000092,224.1300049,561.7200317,51.65999985,-39.36000061,-76.26000214,4.300000191,Bcells3,136_Bcells3
129130,113255,39598.23828,35523,409.7000122,329.2200012,1673.070068,1007.190002,-112.5299988,-14.76000023,2.460000038,393.6000061,4.400000095,Bcells3,140_Bcells3
163688,133858,108797.9219,87222,2813.5,411.9899902,577.5300293,10686.62988,1448.940063,300.1199951,974.1599731,756.039978,4.5,Bcells3,141_Bcells3
137241.875,93262,136216.9531,109786,2144.550049,1114.140015,1485.209961,39377.12891,7355.370117,1251.319946,4044.23999,2576.439941,4.599999905,Bcells3,145_Bcells3
115384.5,104454,35756.16016,33366,555.9000244,259.4700012,908.6099854,657.5100098,1.860000014,122.1800003,114.7999954,116.4400024,4.699999809,Bcells3,149_Bcells3
24358.58008,23519,16986.64063,16427,-97.75,-0.930000007,39.99000168,98.58000183,181.3500061,-15.57999992,30.34000015,-6.559999943,4.900000095,Bcells3,153_Bcells3
231964.1094,121755,86249.67969,42735,530.4000244,611.9400024,2076.689941,1427.550049,36.27000046,93.47999573,-109.8799973,686.3399658,4.900000095,Bcells3,154_Bcells3
56770.58203,34235,108813.7578,86939,-94.3500061,17.67000008,66.02999878,111.5999985,148.8000031,61.5,136.1199951,185.3199921,4.900000095,Bcells3,156_Bcells3
49147.10156,30297,183407.8438,124073,-164.9000092,11.15999985,28.82999992,264.1199951,-45.56999969,60.68000031,-11.47999954,-72.15999603,5,Bcells3,161_Bcells3
114967.1406,101742,38720,36094,69.70000458,167.3999939,1505.670044,1209,40.92000198,31.97999954,26.23999977,60.68000031,5.199999809,Bcells3,165_Bcells3
125121.4219,112739,52702.32031,47703,-76.5,234.3600006,1449.869995,582.1799927,-1.860000014,18.03999901,1.639999986,1173.420044,5.599999905,Bcells3,189_Bcells3
132182.5,116070,58758.48047,53638,93.5,203.6699982,172.9799957,-65.09999847,-11.15999985,82,-146.7799988,20.5,5.699999809,Bcells3,191_Bcells3
156707.5781,127958,98572.32031,83237,4133.550293,765.3900146,5181.030273,10213.25977,102685.9531,2023.76001,1476.819946,17721.01953,6.5,Bcells3,215_Bcells3
148290.0781,127846,62215.12109,54582,317.0500183,137.6399994,218.5500031,1968.810059,-18.60000038,230.4199982,220.5800018,520.7000122,6.699999809,Bcells3,228_Bcells3
147771.3438,125400,88285.11719,69884,1965.200073,401.7600098,955.1099854,13508.25,61966.83203,20041.61914,6770.739746,2569.060059,6.900000095,Bcells3,232_Bcells3
131221.9844,117090,53794.39844,49222,694.4500122,127.4100037,522.6600342,425.9400024,-29.76000023,82,-17.21999931,-206.6399994,7.099999905,Bcells3,240_Bcells3
36874.94141,20412,76270.47656,61772,408,-32.54999924,158.1000061,212.0400085,475.230011,-50.02000046,93.47999573,-45.91999817,7.099999905,Bcells3,241_Bcells3
139877.0156,119334,57493.91797,51026,-210.8000031,332.0100098,944.8800049,1554.959961,196.2299957,0,202.5399933,127.0999985,7.199999809,Bcells3,246_Bcells3
59814.94141,42529,81874.32031,67765,111.3500061,90.20999908,39.06000137,330.1499939,360.8399963,19.68000031,-16.39999962,-12.30000019,7.300000191,Bcells3,250_Bcells3
147106.8281,120771,67632.39844,57879,1649,285.5100098,1001.609985,1987.410034,383.1600037,-19.68000031,187.7799988,232.8800049,7.699999809,Bcells3,261_Bcells3
77281.16406,59929,98178.07813,87289,26.35000038,89.27999878,13.94999981,81.84000397,465,244.3600006,-18.03999901,63.13999939,8.399999619,Bcells3,281_Bcells3
176637.2656,138554,122210,102634,5873.5,555.210022,723.539978,3228.030029,704.9400024,1427.619995,717.5,8905.200195,8.600000381,Bcells3,292_Bcells3
121855.0625,104751,50083.44141,44476,226.9500122,227.8500061,1082.52002,821.1900024,-103.2300034,-69.69999695,-129.5599976,-141.8600006,10.10000038,Bcells3,338_Bcells3
103885.6406,97761,33169.83984,28309,15140.2002,286.4400024,598.9199829,268.769989,430.5899963,250.0999908,-61.5,3009.399902,11,Bcells3,362_Bcells3
64254.19922,58980,51007.44141,44336,6023.100098,326.4299927,829.5599976,863.9700317,-134.8500061,160.7200012,41,602.7000122,11.19999981,Bcells3,369_Bcells3
44006.32031,41671,21197.43945,19399,407.1500244,201.8099976,97.65000153,-26.96999931,-628.6799927,-93.47999573,-31.15999985,46.73999786,11.39999962,Bcells3,371_Bcells3
128200.5625,110688,50534.87891,45760,-30.60000038,443.6100159,1817.219971,713.3099976,-165.5400085,206.6399994,10.65999985,1569.47998,11.39999962,Bcells3,372_Bcells3
142209.5,118815,62849.60156,55931,-128.3500061,96.72000122,278.0700073,1562.400024,56.72999954,-29.52000046,21.31999969,323.0799866,11.60000038,Bcells3,374_Bcells3
76268.10156,63974,122547.9219,110338,-146.1999969,13.02000046,68.81999969,95.79000092,-66.02999878,-5.739999771,122.1800003,99.22000122,12,Bcells3,393_Bcells3
135988.3281,108246,79979.67969,68690,556.75,180.4199982,620.3099976,15861.15039,2370.570068,232.8800049,1009.419983,269.7799988,12.69999981,Bcells3,414_Bcells3
65926.60156,57369,62655.12109,54489,2464.150146,345.0299988,748.6500244,713.3099976,-23.25,14.76000023,-141.8600006,129.5599976,12.80000019,Bcells3,420_Bcells3
126656.9219,107167,38177.91797,34719,412.25,344.1000061,1371.75,911.4000244,-137.6399994,62.31999969,-31.97999954,963.5,12.89999962,Bcells3,424_Bcells3
92212.14063,75787,52262.32031,47355,-84.15000153,172.9799957,123.6900024,368.2799988,100.4400024,198.4400024,139.3999939,27.05999947,13.80000019,Bcells3,459_Bcells3
121035.1406,102944,58019.28125,47860,192.1000061,203.6699982,814.6799927,399.8999939,-112.5299988,214.8399963,56.57999802,376.3800049,14.19999981,Bcells3,480_Bcells3
