FSC-A,FSC-H,SSC-A,SSC-H,Live/ Dead,IgM,CD27,HLA-DR,CD19,CD24,CD23,CD21,Time,file_name,event_id
130936.3438,116894,54828.39844,49710,42.5,332.0100098,775.6199951,3388.919922,1046.25,131.1999969,349.3200073,21.31999969,27.70019531,Bcells2,293_Bcells2
127289.625,109218,55593.12109,50482,2116.5,410.1300049,2251.530029,21649.4707,30341.25,12794.45996,6058.97998,14576.32031,29,Bcells2,305_Bcells2
50750.67969,41917,87726.32031,77565,13175.85059,783.9899902,938.3699951,13259.00977,3800.909912,1467.799927,2293.540039,4613.319824,30.39941406,Bcells2,319_Bcells2
151999.7031,133930,60581.83984,54366,582.25,90.20999908,222.2700043,2455.199951,569.1600342,410,395.2399902,3389.879883,32.89941406,Bcells2,335_Bcells2
101918.7188,87687,38252.71875,34771,707.2000122,168.3300018,895.5900269,704.9400024,12.09000015,-25.42000008,-28.69999886,-72.15999603,34.5,Bcells2,354_Bcells2
196845.9219,159616,118793.8359,103076,-32.29999924,451.980011,1266.660034,2185.5,536.6099854,60.68000031,86.91999817,81.18000031,35.29980469,Bcells2,365_Bcells2
49256.62109,39482,81175.60156,72474,6205,393.3900146,438.9599915,595.2000122,862.1099854,516.5999756,459.1999817,766.7000122,38.89941406,Bcells2,389_Bcells2
153484.1406,113765,120074.2422,95909,2519.400146,585.9000244,418.5,4400.760254,2720.25,833.1199951,657.6400146,5258.660156,40.09960938,Bcells2,398_Bcells2
138346.7031,120243,59575.12109,55271,1105,182.2799988,242.7299957,290.1600037,-134.8500061,184.5,143.5,2141.02002,40.20019531,Bcells2,400_Bcells2
139015.6563,118066,57186.80078,47398,1264.800049,341.3099976,289.230011,203.6699982,9.300000191,355.8800049,80.36000061,4888.02002,40.5,Bcells2,404_Bcells2
21633.90039,21099,14505.91992,14539,527,72.54000092,63.24000168,-181.3500061,-166.4700012,34.43999863,44.27999878,334.5599976,41,Bcells2,408_Bcells2
24597.59961,23214,19747.19922,15418,425,61.38000107,169.2599945,-40.92000198,16.73999977,-59.86000061,127.0999985,271.4199829,42.29980469,Bcells2,417_Bcells2
